variant,normal_score,flipped_score,antisym_score,symmetric_order_score,backbone,pair_index,dataset_index
mean_without_norm,2.630121946334839,0.5988926291465759,1.0156146585941315,1.6145072877407074,Ouro 2.6B Thinking,19,
attention_with_norm,1.839372158050537,0.8264400959014893,0.5064660310745239,1.3329061269760132,Ouro 2.6B Thinking,20,
attention_without_norm,2.2475216388702393,1.4095916748046875,0.4189649820327759,1.8285566568374634,Ouro 2.6B Thinking,20,
mean_with_norm,2.3339455127716064,0.19263000786304474,1.0706577524542809,1.2632877603173256,Ouro 2.6B Thinking,20,
mean_without_norm,2.563145875930786,0.6154758334159851,0.9738350212574005,1.5893108546733856,Ouro 2.6B Thinking,20,
attention_with_norm,1.5419601202011108,0.7920415997505188,0.374959260225296,1.1670008599758148,Ouro 2.6B Thinking,21,
attention_without_norm,2.0171761512756348,1.724846363067627,0.1461648941040039,1.8710112571716309,Ouro 2.6B Thinking,21,
mean_with_norm,1.9742966890335083,0.35513073205947876,0.8095829784870148,1.1647137105464935,Ouro 2.6B Thinking,21,
mean_without_norm,2.3596556186676025,0.8958733677864075,0.7318911254405975,1.627764493227005,Ouro 2.6B Thinking,21,
attention_with_norm,0.28734540939331055,2.476569414138794,-1.0946120023727417,1.3819574117660522,Ouro 2.6B Thinking,22,
attention_without_norm,1.3513010740280151,2.605736494064331,-0.627217710018158,1.978518784046173,Ouro 2.6B Thinking,22,
mean_with_norm,-0.008152923546731472,2.168208360671997,-1.0881806421093643,1.0800277185626328,Ouro 2.6B Thinking,22,
mean_without_norm,0.7685189843177795,2.556077480316162,-0.8937792479991913,1.6622982323169708,Ouro 2.6B Thinking,22,
attention_with_norm,-0.7210402488708496,2.7625815868377686,-1.741810917854309,1.0207706689834595,Ouro 2.6B Thinking,23,
attention_without_norm,-0.09110760688781738,2.8855721950531006,-1.488339900970459,1.3972322940826416,Ouro 2.6B Thinking,23,
mean_with_norm,-0.9228957295417786,2.9646098613739014,-1.94375279545784,1.0208570659160614,Ouro 2.6B Thinking,23,
mean_without_norm,-0.46885812282562256,3.0539846420288086,-1.7614213824272156,1.292563259601593,Ouro 2.6B Thinking,23,
attention_with_norm,0.08616698533296585,2.3406360149383545,-1.1272345148026943,1.2134015001356602,Ouro 2.6B Thinking,24,
attention_without_norm,0.6176175475120544,2.6108009815216064,-0.996591717004776,1.6142092645168304,Ouro 2.6B Thinking,24,
mean_with_norm,0.7616144418716431,2.1458404064178467,-0.6921129822731018,1.4537274241447449,Ouro 2.6B Thinking,24,
mean_without_norm,1.1234471797943115,2.5560436248779297,-0.7162982225418091,1.8397454023361206,Ouro 2.6B Thinking,24,
attention_with_norm,3.5912344455718994,-0.9830201864242554,2.2871273159980774,1.304107129573822,Ouro 2.6B Thinking,25,
attention_without_norm,3.3440942764282227,0.6174740195274353,1.3633101284503937,1.980784147977829,Ouro 2.6B Thinking,25,
mean_with_norm,2.7599403858184814,-0.09348475188016891,1.4267125688493252,1.3332278169691563,Ouro 2.6B Thinking,25,
mean_without_norm,2.9954090118408203,0.4761659502983093,1.2596215307712555,1.7357874810695648,Ouro 2.6B Thinking,25,
attention_with_norm,2.607140302658081,0.18787066638469696,1.209634818136692,1.397505484521389,Ouro 2.6B Thinking,26,
attention_without_norm,2.426537275314331,1.7239736318588257,0.3512818217277527,2.0752554535865784,Ouro 2.6B Thinking,26,
mean_with_norm,0.9246694445610046,1.9200918674468994,-0.4977112114429474,1.422380656003952,Ouro 2.6B Thinking,26,
mean_without_norm,1.393409252166748,2.498014211654663,-0.5523024797439575,1.9457117319107056,Ouro 2.6B Thinking,26,
attention_with_norm,1.724696397781372,0.445441871881485,0.6396272629499435,1.0850691348314285,Ouro 2.6B Thinking,27,
attention_without_norm,2.071373701095581,1.6496245861053467,0.2108745574951172,1.8604991436004639,Ouro 2.6B Thinking,27,
mean_with_norm,1.3638465404510498,1.204255223274231,0.07979565858840942,1.2840508818626404,Ouro 2.6B Thinking,27,
mean_without_norm,2.0329620838165283,1.759355068206787,0.1368035078048706,1.8961585760116577,Ouro 2.6B Thinking,27,
attention_with_norm,1.825291395187378,0.5497297644615173,0.6377808153629303,1.1875105798244476,Ouro 2.6B Thinking,28,
attention_without_norm,2.14927077293396,1.5640583038330078,0.2926062345504761,1.8566645383834839,Ouro 2.6B Thinking,28,
mean_with_norm,1.3673287630081177,0.5434998273849487,0.4119144678115845,0.9554142951965332,Ouro 2.6B Thinking,28,
mean_without_norm,1.978001594543457,1.4501702785491943,0.26391565799713135,1.7140859365463257,Ouro 2.6B Thinking,28,
attention_with_norm,2.0114028453826904,1.0050859451293945,0.503158450126648,1.5082443952560425,Ouro 2.6B Thinking,29,
attention_without_norm,2.4464926719665527,1.5507152080535889,0.44788873195648193,1.9986039400100708,Ouro 2.6B Thinking,29,
mean_with_norm,2.042905569076538,0.21001850068569183,0.9164435341954231,1.126462034881115,Ouro 2.6B Thinking,29,
mean_without_norm,2.513705015182495,0.9519371390342712,0.7808839380741119,1.7328210771083832,Ouro 2.6B Thinking,29,
attention_with_norm,2.644247531890869,-0.6675460934638977,1.6558968126773834,0.9883507192134857,Ouro 2.6B Thinking,30,
attention_without_norm,2.2819554805755615,1.2395594120025635,0.521198034286499,1.7607574462890625,Ouro 2.6B Thinking,30,
mean_with_norm,2.291382074356079,-0.1188587099313736,1.2051203921437263,1.0862616822123528,Ouro 2.6B Thinking,30,
mean_without_norm,2.6864001750946045,0.6061396598815918,1.0401302576065063,1.6462699174880981,Ouro 2.6B Thinking,30,
attention_with_norm,0.22147703170776367,2.373591661453247,-1.0760573148727417,1.2975343465805054,Ouro 2.6B Thinking,31,
